English,urdu
Abdal Hakim,عبدالحاکم
Abdal Halim,عبد الحلیم
Abdal Hamid,عبد الحامد
Abdal Jabbar,عبد الجبار
Abdal Jabir,عبد الجبار
Abdal Kadir,عبد الکادر
Abdal Karim,عبد الکریم
Abdal Lafif,عبد الطیف
Abdal Majid,عبدالماجد
Abdal Malik,عبد المالک
Abdal Mufi,عبد المفی
Abdal Muhsin,عبد المحسن
Abdal Rahim,عبد الرحیم
Abdal Rahman,عبد الرحمان
Abdal Rauf,عبد الرؤف
Abdal Raziq,عبدالرازق
Abdal Razzaq,عبد الرزاق
Abdal Salam,عبد السلام
Abdal Wahab,عبدالوہاب
Abdalla,عبداللہ
Abdallah,عبداللہ
Abdalrahman,عبد الرحمان
Abdan,ابدان
Abdar,آبدار
Abdar Rahman,عبد الرحمان
Abdeel,عبدیل
Abdel,عبدل
Abdel Adir,عبد العدیر
Abdel Ati,عبد العطی
Abdel Aziz,عبد العزیز
Abdel Fattah,عبد الفتح
Abdel Gawwad,عبدالگواد
Abdel Hadi,عبدالحادی
Abdel Hakim,عبدالحاکم
Abdel Halim,عبد الحلیم
Abdel Hamid,عبد الحامد
Abdel Kadir,عبد الکدیر
Abdel Kerim,عبد الکریم
Abdel Krim,عبد الکریم
Abdel Lafif,عبدا لفیف
Abdel Malik,عبد المالک
Abdel Mufi,عبد المُفی
Abdel Salam,عبد السلام
Abder Rahim,عبد الرحیم
Abder Rahman,عبد الرحمان
Abder Razi,عبد الرضی
Abder Razza,عبد الرضا
Abdi,عبدی
Abdu,ابدُ
Abdud Daar,عبدل دار
Abdul,عبدل
Abdul Aakhir,عبد الاخر
Abdul Aalee,عب الالی
Abdul Abdel Abd Al,عبدل عبدیل عبد ال
Abdul Adheem,عبدل ادھیم
Abdul Adl,عبدل عدل
Abdul Afuw,عبدل افو
Abdul Ahad,عبدل احد
Abdul Aleem,عبد العلیم
Abdul Ali,عبدل علی
Abdul Alim,عبدالعلیم
Abdul Aliyy,عبدل علی
Abdul Awwal,عبد الاول
Abdul Azeem,عبد العظیم
Abdul Azeez,عبد العزیز
Abdul Azim,عبد العظیم
Abdul Aziz,عبد العزیز
Abdul Baaqi,عبدالباقی
Abdul Baari,عبد الباری
Abdul Baasit,عبد الباسط
Abdul Badee,عبد ل بدی
Abdul Badi,عبد ل بدی
Abdul Bais,عبدل بائس
Abdul Baith,عبدل بیت
Abdul Bari,عبد الباری
Abdul Baseer,عبدالبصیر
Abdul Basir,عبدالبصیر
Abdul Basit,عبد الباسط
Abdul Batin,عبد ل بتن
Abdul Dhahir,عبدل داہر
Abdul Fatah,عبدالفتح
Abdul Ghaffar,عبد الغفار
Abdul Ghafoor,عبد الغفور
Abdul Ghafur,عبدالغفور
Abdul Ghani,عبد الغنی
Abdul Haady,عبد الحادے
Abdul Haafiz,عبد الحفیظ
Abdul Hadeem,عبد الحدیم
Abdul Hadi,عبدالہادی
Abdul Hafeedh,عبدل حفیدہ
Abdul Hafeez,عبد الحفیظ
Abdul Hafiz,عبد الحفیظ
Abdul Hakam,عبد الحکم
Abdul Hakeem,عبد الحکیم
Abdul Hakeen,عبدالحکین
Abdul Hakim,عبد الحکیم
Abdul Haleem,عبد الحلیم
Abdul Halim,عبد الحلیم
Abdul Hameed,عبد الحمید
Abdul Hamid,عبد الحامد
Abdul Hannan,عبدل حنان
Abdul Haq,عبدالحق
Abdul Haqq,عبد الحق
Abdul Haseeb,عبد الحسیب
Abdul Hasib,عبدل حسیب
Abdul Hayy,عبدل حئی
Abdul Jabaar,عبدالجبار
Abdul Jabbar,عبد الجبار
Abdul Jabir,عبد الجابر
Abdul Jaleel,عبد الجلیل
Abdul Jalil,عبد الجلیل
Abdul Jame,عبدل جامی
Abdul Jamil,عبدل جمیل
Abdul Jawwad,عبدل جواد
Abdul Kabir,عبدل کبیر
Abdul Kafi,عبدل کافی
Abdul Kareem,عبد الکریم
Abdul Karim,عبد الکریم
Abdul Khaaliq,عبد الخالق
Abdul Khabir,عبدل خبیر
Abdul Khafiz,عبدل خفیظ
Abdul Khaliq,عبد الخالق
Abdul Lafif,عبدل للفیف
Abdul Lateef,عبد الطیف
Abdul Latif,عبد الطیف
Abdul Maane,عبدالمانی
Abdul Magid,عبد المجید
Abdul Majeed,عبد المجید
Abdul Majid,عبد الماجد
Abdul Malik,عبد المالک
Abdul Mani,عبدل مانی
Abdul Mannan,عبدالمننان
Abdul Mateen,عبد المتین
Abdul Medjid,عبد المدجید
Abdul Mejid,عبد المجید
Abdul Moakhir,عبدل موخر
Abdul Mohsi,عبدل موحثی
Abdul Momit,عبدل مومیت
Abdul Moqit,عبدل موقت
Abdul Mubdee,عبدل مبدی
Abdul Mubdi,عبدل مبدی
Abdul Mueed,عبدل معید
Abdul Mueid,عبدل معید
Abdul Mughni,عبد المغنی
Abdul Muhsen,عبد االمحسن
Abdul Muhsi,عبدل محسی
Abdul Muhsin,عبدل محسن
Abdul Muhyee,عبدل مہیی
Abdul Muhyi,عبدل مہیی
Abdul Muid,عبدل مئید
Abdul Muiz,عبدالمعز
Abdul Muizz,عبد المعز
Abdul Mujeeb,عبدالمجیب
Abdul Mujib,عبد المُجیب
Abdul Mumin,عبدالمومن
Abdul Munim,عبد المُنیم
Abdul Muntaqim,عبدالمنتقم
Abdul Muqaddim,عبدالمقددم
Abdul Muqeet,عبدالمقیت
Abdul Muqsit,عبدالمقست
Abdul Muqtadir,عبد المقتدر
Abdul Musawwir,عبدالمصویر
Abdul Mutaal,عبدالمطال
Abdul Mutaalee,عبدالمتالی
Abdul Mutakabbir,عبدالمتکبر
Abdul Mutali,عبدالمعطلی
Abdul Muti,عبدل مطعی
Abdul Muttalib,عبد المطلب
Abdul Muzanni,عبدالمزانی
Abdul Nafi,عبدالنفی
Abdul Nasir,عبدالناصر
Abdul Nasser,عبد النصیر
Abdul Noor,عبدالنور
Abdul Nur,عبد النور
Abdul Qaadar,عبد القادر
Abdul Qaadir,عبد القدیر
Abdul Qabiz,عبدالقابض
Abdul Qadar,عبد القادر
Abdul Qadeer,عبدالقدیر
Abdul Qader,عبد القادر
Abdul Qadir,عبد القادر
Abdul Qahaar,عبدالقہار
Abdul Qahir,عبدالقاہر
Abdul Qaiyoum,عبدالقیوم
Abdul Qawi,عبدالقوی
Abdul Qayyum,عبدالقیوم
Abdul Quddus,عبد القدوس
Abdul Qudoos,عبدالقدوس
Abdul Qudus,عبد القدوس
Abdul Raafi,عبدالرفیع
Abdul Rabb,عبدالرب
Abdul Rafi,عبدالرفیع
Abdul Raheem,عبد الرحیم
Abdul Rahim,عبدالرحیم
Abdul Rahmaan,عبد الرحمان
Abdul Rahman,عبد الرحمان
Abdul Raouf,عبدالرؤف
Abdul Raqib,عبدالراقب
Abdul Rashid,عبد الراشد
Abdul Rauf,عبد الرؤف
Abdul Razaaq,عبد الرزاق
Abdul Razaq,عبدالرزاق
Abdul Razzaq,عبدالرزاق
Abdul Rehman,عبدالرحمان
Abdul Saboor,عبدالصبور
Abdul Sabur,عبدالصبور
Abdul Salaam,عبدالسلیم
Abdul Salam,عبد السلام
Abdul Samad,عبد الصمد
Abdul Samee,عبدالسمیع
Abdul Sattar,عبدالستار
Abdul Shahid,عبدالشاہد
Abdul Shakoor,عبدالشکور
Abdul Shakur,عبد الشکور
Abdul Tawaab,عبد الطوات
Abdul Tawwab,عبدالتواب
Abdul Vajed,عبدالواجد
Abdul Vakil,عبدالوکیل
Abdul Waahid,عبدالواحد
Abdul Waajid,عبدالواجد
Abdul Waali,عبدالولی
Abdul Waase,عبدالواسع
Abdul Wadood,عبدالودو
Abdul Wadud,عبد الودود
Abdul Wahaab,عبدالوہاب
Abdul Wahab,عبد الوہاب
Abdul Wahhab,عبد الوہاب
Abdul Wahid,عبد الواحد
Abdul Wajid,عبدل واجد
Abdul Wakil,عبدالوکیل
Abdul Wali,عبدل ولی
Abdul Waliy,عبدالولی
Abdul Waris,عبدالوارث
Abdul Warith,عبد الوریتہ
Abdul Wasi,عبدالوسیع
Abdul Zahir,عبدالظاہر
Abdulla,عبداللہ
Abdullaah,عبداللہ
Abdullah,عبداللہ
Abdulsalam,عبدالسلام
Abdun Naafe,عبدالنافیع
Abdur Rab,عبدالرب
Abdur Rafi,عبدالرفیع
Abdur Rahim,عبد الرحیم
Abdur Rahman,عبد الرحمان
Abdur Raqeeb,عبدالرقیب
Abdur Raqib,عبدالراقب
Abdur Rashid,عبد الرشد
Abdur Razzaq,عبد الرزاق
Abdur Rehman,عبد الرحمان
Abdus,عبدص
Abdus Sabour,عبدالصبور
Abdus Salam,عبد السلام
Abdus Sameei,عبدالسمیع
Abdus Sami,عبدالسمیع
Abdus Sattar,عبدوس ستار
Abdus Shafi,عبدوس شفیع
Abdus Shaheed,عبدوس شہید
Abdus Subbooh,عبدوس صبوح
Abdus Subhan,عبدوس سبحان
Abdus Subooh,عبدوس صبع
Abdush Shafi,عبدوش شفیع
Abdush Shaheed,عبدوش شہید
Abdush Shahid,عبدوش شاہد
Abdut Tawwab,عبدوت تواب
Abduz Zahir,عبدوز ظاہر
Abed,عابد
Abedin,عابدین
Abeed,عبید
Abeel,عبیل
Abeez,ابیض
Abes,عابث
Abhaar,ابہار
Abhar,ابہار
Abid,عابد
Abiq,عابق
Abir,عابر
Abis,عابس
Abisali,ابیصیلی
Abiss,آبص
Abiyah,ابییہ
Abiz,عبز
Abkar,آبکار
Ablagh,ابلاغ
Abloch,آبلوچ
Abnat,عبنات
Abnosh,آبنوش
Abnus,ابنُس
Abood,عبود
Abq,عبق
Abqaar,ابقار
Abqar,عبقر
Abraad,ابراد
Abraar,ابرار
Abraaz,ابراز
Abrah,ابرہہ
Abrahah,آبَرہہ
Abraham,ابراہیم
Abrak,ابراک
Abrar,ابرار
Abraz,ابراز
Abriz,ابرز
Abs,ابس
Absaar,ابصار
Absalam,ابصالم
Absam,ابسام
Absar,ابصار
Absat,ابسط
Abser,ابصر
Absham,بشم
Absher,ابشر
Abtaal,ابطال
Abtal,ابتل
Abteen,آبتین
Abthi,عبتہی
Abu,ابو
Abu Abdullah,ابُوعبدللہ
Abu Al Hasan,ابوالحسن
Abu Al Khair,ابوالخیر
Abu Al Khayr,ابوالخیر
Abu Ali,ابُوعلی
Abu Ayyub,ابُوایوب
Abu Bakar,ابوبکر
Abu Bakr,ابُو بکر
Abu Dalamah,ابُو دالامہ
Abu Darda,ابُو دردا
Abu Daud,ابُوداؤد
Abu Dawaniq,ابُو دوانیق
Abu Firas,ابُو فارس
Abu Ghalib,ابُو غالب
Abu Hafs,ابُو حفص
Abu Hanifa,ابو حنیفہ
Abu Hanifah,ابُو حنیفہ
Abu Hareera,ابو ہریرہ
Abu Hisham,ابُو ہشام
Abu Hurairah,ابُو ہریرہ
Abu Huzaifah,ابو حذیفہ
Abu Isa,ابو عیسا
Abu Ishaq,ابُو اسحاق
Abu Juhafa,ابو جحفہ
Abu Lahab,ابُو لہب
Abu Lulu,ابُو لولو
Abu Mahzoorah,ابو مہزورہ
Abu Malik,ابُو ملک
Abu Masood,ابو مسعود
Abu Moosa,ابو موسٰی
Abu Saeed,ابو سعید
Abu Talha,ابو طلحہ
Abu Talib,ابو طالب
Abu Tarab,ابوتراب
Abu Turab,بوتراب
Abu Yousuf,ابو یوسف
Abu Zar,ابو زر
Abu-l- Qasim ۔,ابوالقاسم
Abualkhayr,ابوالخیر
Abubakar,ابُو بکر
Abubaker,ابو بکر
Abul Abbas,ابُل عباس
Abul Aina,ابُل آئنیہ
Abul Ala,ابُل اعلی
Abul Barakat,ابل برکات
Abul Bashar,ابُل بشر
Abul Durr,ابُل دُرر
Abul Farah,ابل فرح
Abul Faraj,ابل فراج
Abul Fath,ابُل فتہ
Abul Fazl,ابُل فضل
Abul Haija,ابُل ہیجا
Abul Haisam,ابل ہیثم
Abul Hasan,ابُل حسن
Abul Hassan,ابل حسسان
Abul Kalam,ابل کلام
Abul Khayr,ابوالخیر
Abul Mahasin,ابل محسن
Abul Mahzurat,ابُل مہزرت
Abul Masakin,ابُل مساکین
Abul Qasim,ابُل قاسیم
Abul Wafa,ابُل وفا
Abul Yumn,ابل یمن
Abul Yusr,ابل یاسر
Abulbashr,ابل بشر
Abulfazl,ابل فضل
Abulkhayr,ابل خیر
Abul۔Hassan,ابوالحسن
Abul۔Khair,ابوالخیر
Abyaan,آبیان
Abyan,ابیان
Abyaz,ابیاض
Abzari,ابزاری
Acharia,آچاریہ
Achmad,اچمد
Achmed,اچمید
Adaim,ادیم
Adal,عدل
Adalat,عدالت
Adam,عدم
Adan,عدن
Adar,ادار
Adas,عادس
Adawi,اداوی
Adbis,عدبس
Adbul Qawi,عبدالقوی
Adeeb,ادیب
Adeed,عدید
Adeel,عدیل
Adeem,عدیم
Adees,عادیس
Adel,عدیل
Adem,آدم
Aden,عدن
Adesh,آدیش
Adham,عدہم
Adheen,آدہین
Adi,عدی
Adib,ادیب
Adid,عدید
Adil,عادل
Adil Shah,عادل شاہ
Adim,آدِم
Adir,عادر
Adl,عدل
Adnaan,عدنان
Adnan,عدنان
Adool,عدول
Adous,عدوس
Adra,عدرا
Adrish,آدرش
Adul Aziz,عبد العزیز
Aduz Zahir,عضوظاہر
Adwam,ادوام
Adyan,ادیان
Aejaz,ایجاز
Aerkun,ایرکن
Aetisham,ایتیشام
Afan,عفان
Afandi,آفندی
Afaq,آفاق
Afdaal,افدال
Afdal,افدال
Afdhaal,افدحال
Afdhal,افدحال
Afeef,عفیف
Affan,عفان
Affzal,افضل
Afgan,افگن
Afgar,افگار
Afham,افہام
Afi,عفی
Afif,عفیف
Afif Ud Din,عفیف اُدین
Afir,عافر
Afiyat,عافیت
Afiz,آفز
Afkar,افکار
Afkhar,افخار
Afrad,افراد
Afrand,افراند
Afrasiab,افراسیاب
Afrasiyab,افراسیاب
Afrasyyab,افراسیاب
Afraz,افراز
Afreed,آفرید
Afridi,آفریدی
Afsah,افصح
Afsar,افسر
Afsaruddin,افسردین
Afser,افسر
Afshar,افشار
Afsheen,افشین
Afshiin,افشین
Afshin,افشین
Afta,افتا
Aftab,آفتاب
Aftabuddin,آفتابدین
Aftar,أفطر
Aftekhar,افتخار
Afuvv,عفو
Afuww,عفو
Afzaal,افضال
Afzal,افضل
Agha,آغا
Aghar,آغر
Agharr,اغہار
Aghlab,اغہلاب
Ahad,احد
Ahadiyah,عہادیہ
Ahbab,احباب
Ahbar,احبار
Ahbdil,احبدل
Ahda,احدا
Ahdaf,أہداف
Ahdi,احدی
Ahdii,احدی
Ahfaaz,احفاظ
Ahil,آہل
Ahjaz,احجاز
Ahkam,احکم
Ahmad,احمد
Ahmadullah,احمداللہ
Ahmar,احمر
Ahmed,احمد
Ahmer,احمر
Ahnaf,احنف
Ahoor,احور
Ahraad,احراد
Ahsa,احسا
Ahsab,احسب
Ahsaf,احسف
Ahsan,احسن
Ahsant,احسنت
Ahsen,احسن
Ahsham,احشم
Ahtesham,احشتام
Ahtisham,احتشام
Ahtzar,احتضار
Ahyan,احیان
Ahzab,احزاب
Ahzam,احزم
Aibak,ایبک
Aid,عائد
Aiden,آئیدان
Aidh,ایدہ
Aidmeer,آئیدمیر
Aidon,آئیدون
Aiesh,عائش
Aijaan,آئیجان
Aikat,آئے کت
Ail,عائل
Ailaf,ایلاف
Ailiya,عالیہ
Aini,آئنی
Ainullah,عین اللہ
Aiqan,ایقان
Aiqaz,ایقاض
Aique,عائقی
Aiqunah,آیقنہ
Airaas,اعراس
Airad,ایراد
Airas,اعراس
Airkan,ایرکن
Ais,عیث
Aisa,ایسا
Aisaa,ایسا
Aish,ایش
Aissa,عیسی
Aitmaad,اعتماد
Aiz,ایز
Ajaam,عجام
Ajab,عجب
Ajald,اجلد
Ajam,اجام
Ajda,اجدا
Ajdal,اجدال
Ajeeb,عجیب
Ajeel,عجیل
Ajer,اجر
Ajf,عجف
Ajib,عجیب
Ajiel,عجیل
Ajif,عجف
Ajij,اجیج
Ajil,عاجل
Ajim,اجیم
Ajir,آجر
Ajiz,عاجز
Ajjmal,اجمل
Ajlaal,اجلال
Ajlaan,عجلان
Ajlan,عجلان
Ajmaal,اجمال
Ajmal,اجمل
Ajmar,اجمر
Ajmel,اجمیل
Ajnabi,اجنبی
Ajnabii,اجنبی
Ajnat,اجنت
Ajtaba,جتبا
Ajubah,عجوبہ
Ajurrum,اجُرُم
Ajvad,اجود
Ajwaad,اجواد
Ajwad,اجود
Ajzal,اجزل
Akal,عقل
Akaram,اکارم
Akarim,آ کریم
Akarma,عکرمہ
Akas,آکاس
Akbar,اکبر
Akbar Nawaz,اکبر نواز
Akeem,اقیم
Akfah,اکفح
Akfash,اکفاش
Akhangal,اخانغل
Akhas,آخاص
Akhber,اخبر
Akhdan,أخدان
Akhfash,اخفاش
Akhgar,اخگر
Akhger,اخگر
Akhi,آخی
Akhil,آخیل
Akhir,آخر
Akhkaz,اخکاض
Akhla,اخلا
Akhlaaq,اخلاق
Akhlaq,اخلاق
Akhmas,اخماس
Akhraj,اخراج
Akhram,اخرم
Akhsam,اخسم
Akhtar,اختر
Akhter,اختر
Akhund,اخوند
Akhundzada,اخندزدا
Akhuwat,اخوت
Akhuwwat,اخوت
Akhwanzada,اخونزادہ
Akhyar,اخیار
Akhzam,اخزم
Akhzar,اخزر
Akhzir,اخضر
Akid,اکید
Akif,عاکف
Akil,اکیل
Akili,اکیلی
Akkaas,عکاس
Akkah,عکہ
Akkas,عکاس
Aklaf,اکلاف
Akmad,اکمد
Akmal,اکمل
Akraam,اکرام
Akram,اکرم
Akramm,اکرم
Akwan,اکون
Al,ال
Al Abbas,ال عباس
Al Amin,ال امین
Al Burhan,ال برہان
Al Faiz,ال فیض
Al Jalil,الجلیل
Al Rafi,ال رفیع
Al Safi,ال صفی
Al Siddiq,ال صادق
Al Tahir,ال طاہر
Al Tayyib,ال طیب
Al Yasa,الیاسا
Ala,اعلٰی
Ala Al Din,اعلی الدین
Ala Ud Din,اعلی اُدین
Ala-Ud-Din,علاؤالدین
Alaa,علا
Alaaldin,اللدین
Alaaudin,علاؤالدین
Alab,آلب
Alabbas,العباس
Aladdin,الادین
Alaf,علف
Alagh,الغ
Alai,علیہ
Alalim,العالم
Alam,عالم
Alamat,علامت
Alamgir,عالمگیر
Alamulhuda,الملحدہ
Alamzeb,المذیب
Alanda,الندا
Alap,الپ
Alauddin,علاؤالدین
Alaudin,علاؤالدین
Alban,البان
Albara,البارا
Alborz,البُرز
Alddin,الدین
Aleem,علیم
Aleem Ul Huda,علیم ال ہدا
Aleemuddin,العمودین
Alf,علف
Alhadi,الہادی
Alhafeez,الحفیظ
Alhakam,الحکم
Alhan,الہان
Alhaq,الحق
Alharith,الحارث
Alhasan,الحسن
Alhazar,الحذر
Alhusain,الحسین
Alhusayn,الحسین
Ali,علی
Ali Dad,علی داد
Ali Raza,علی رضا
Alif,الف
Alih,الیح
Alii,علی
Alim,عالم
Aliq,علیق
Aliyy,الی
Aljaleel,الجلیل
Alkar,الکر
Alkhaaliq,الخالق
Alkhaliq,الخالق
Alko,الکو
Allaaf,علاف
Allaam,علام
Allaami,علامی
Allaf,علاف
Allah Bakhsh,اللہ بخش
Allah Rakha,اللہ رکھا
Allal,اللال
Allam,علام
Allama,علامہ
Allami,علامی
Allauddin,علاؤالدین
Almahdi,المحدی
Alman,المان
Almir,المیر
Alp,الپ
Alparslan,البارسلا
Alsafi,السافی
Altaaf,الطاف
Altaam,التام
Altaf,الطاف
Altair,الطیر
Altamash,التمش
Altamesh,التمش
Altamish,الطماش
Altayyib,الطیب
Altef,الطف
Altifaat,التفات
Altijani,التیجانی
Altin,التین
Altufail,التفعیل
Aluf,الُف
Aluk,الُک
Alva,الوا
Alvaaz,الواز
Alvan,الوان
Alvand,الوند
Alwaaz,الواز
Alwan,علوان
Alwaz,الواز
Aly,اعلے
Amaad,عماد
Amaal,آمال
Amaamah,عمامہ
Amaan,امان
Amaanat,امانت
Amaar,عمار
Amaas,عماس
Amad,عماد
Amadi,عمادی
Amaer,عمیر
Amahl,اماہل
Amail,امیل
Amal,عمل
Amam,امام
Aman,امان
Amanat,امانت
Amanuddin,منددین
Amanullah,امان اللہ
Amar,امر
Amarat,عمارت
Amash,عمش
Amat,عمات
Amatullah,عمات اللہ
Amazir,اماظر
Amd,امد
Amdad,امداد
Amdat,امدات
Ameed,عمید
Ameem,عمیم
Ameen,امین
Ameeq,عمیق
Ameer,امیر
Ameer Hassan,امیر حسن
Ameerjama,امیر جامہ
Amer,امر
Amerulla,مریول
Amid,عمید
Amiduddawlah,امعدودولہ
Amiid,عمید
Amil,عامل
Amim,عمیم
Amin,امین
Amin Ameen,امین امین
Amine,امینی
Aminuddin,منددین
Amiq,عمیق
Amir,عامر
Amiri,امیری
Amjad,امجد
Ammaan,عمان
Ammaar,عمار
Ammad,عماد
Ammamah,عمامہ
Amman,عمان
Ammar,عمار
Ammeer,امیر
Ammir,آمر
Ammo,عمو
Ammu,عمو
Amn,امن
Amon,آموں
Amool,عمول
Amoon,آمون
Amoor,عمور
Amoozgar,آموزگار
Amoz,آموز
Amozgar,آموزگار
Amparatur,آمپاراتر
Amr,امر
Amro,عمرو
Amrullah,امرلله
Amud,امُد
Amul,عمول
Amun,امُن
Anaabat,انابت
Anaadil,عنادل
Anaaq,عناق
Anaayat,عنایت
Anabat,انابت
Anadil,عنادل
Anaq,عناق
Anas,انس
Anasah,أنساه
Anayat,عنایت
Anber,عنبر
Anbisat,انبساط
Andal,عندل
Andam,أندم
Andary,آندرے
Aneed,عنید
Aneef,عنیف
Aneen,انین
Aneq,آنق
Anfas,عنفاص
Angar,عنجر
Anhazrat,آنحضرت
Anid,عنید
Anif,عنیف
Aniif,عنیف
Aniq,انیق
Anis,آنیس
Anjab,انجب
Anjam,انجم
Anjeb,انجب
Anjeel,انجیل
Anjil,انجیل
Anjjum,انجم
Anjnab,آنجناب
Annees,انیس
Annwaar,انوار
Annwar,انور
Anoop,انوپ
Anq,آنق
Ans,انس
Ansab,انسب
Ansar,انصر
Anser,عنصر
Anshaad,انشاد
Ansur,انصار
Antar,عنطر
Antarah,انترہ
Anup,انوپ
Anwaaz,انواز
Anwarussadat,انورسداۃ
Anwaz,انواز
Anzaal,انزال
Anzaam,انظام
Anzaar,انظار
Anzam,انظام
Anzar,عنضر
Aoj,اوج
Aoon,عون
Aoud,اؤد
Aoun,عون
Aous,اوس
Aousaaf,اوصاف
Aousaf,اوصاف
Apporap,اپورپ
Aqa,آقا
Aqaamat,اقامت
Aqal,عقل
Aqamat,اقامت
Aqasi,آقاسی
Aqbal,اقبال
Aqdaar,اقدار
Aqdam,اقدم
Aqdas,اقدس
Aqdass,اقدس
Aqeeb,عقیب
Aqeed,عقید
Aqeel,عقیل
Aqeeq,عقیق
Aqeil,عقیل
Aqel,عقیل
Aqib,عاقب
